Player,Position,Weight,Team,Nationality,Game_Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Tiny Archibald,PG,150,Boston Celtics,United States,1980,East,Coaches,6,1,73,1970,2,2
Larry Bird,SF,220,Boston Celtics,United States,1980,East,Coaches,6,9,81,1978,1,6
Bill Cartwright,C,245,New York Knicks,United States,1980,East,Coaches,7,1,85,1979,1,3
Dave Cowens,FC,230,Boston Celtics,United States,1980,East,Coaches,6,9,81,1970,1,4
John Drew,GF,205,Atlanta Hawks,United States,1980,East,Fans,6,6,78,1974,2,7
Julius Erving,SF,200,Philadelphia Sixers,United States,1980,East,Fans,6,6,78,1972,1,12
George Gervin,GF,180,San Antonio Spurs,United States,1980,East,Fans,6,7,79,1974,3,4
Elvin Hayes,FC,235,Washington Bullets,United States,1980,East,Coaches,6,9,81,1968,1,1
"Eddie Johnson, Jr.",G,180,Atlanta Hawks,United States,1980,East,Fans,6,2,74,1977,3,5
Moses Malone,C,215,Houston Rockets,United States,1980,East,Fans,6,10,82,-,-,-
Micheal Ray Richardson,PG,189,New York Knicks,United States,1980,East,Coaches,6,5,77,1978,1,4
Dan Roundfield,PF,205,Atlanta Hawks,United States,1980,East,Coaches,6,8,80,1975,2,10
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1980,West,Fans,7,2,86,1969,1,1
Otis Birdsong,GF,190,Kansas City Kings,United States,1980,West,Coaches,6,3,75,1977,1,2
Adrian Dantley,SF,208,Utah Jazz,United States,1980,West,Fans,6,5,77,1976,1,6
Walter Davis,GF,193,Phoenix Suns,United States,1980,West,Coaches,6,6,78,1977,1,5
World B. Free,G,185,San Diego Clippers,United States,1980,West,Fans,6,2,74,1975,2,5
Dennis Johnson,PG,185,Seattle SuperSonics,United States,1980,West,Coaches,6,4,76,1976,2,12
Magic Johnson,PG,255,Los Angeles Lakers,United States,1980,West,Fans,6,9,81,1979,1,1
Marques Johnson,GF,218,Milwaukee Bucks,United States,1980,West,Fans,6,7,79,1977,1,3
Jack Sikma,C,230,Seattle SuperSonics,United States,1980,West,Coaches,6,11,83,1977,1,8
Kermit Washington,FC,230,Portland Trail Blazers,United States,1980,West,Coaches,6,8,80,1973,1,5
Scott Wedman,GF,215,Kansas City Kings,United States,1980,West,Coaches,6,7,79,1974,1,6
Paul Westphal,G,195,Phoenix Suns,United States,1980,West,Coaches,6,4,76,1972,1,10
Tiny Archibald,PG,150,Boston Celtics,United States,1981,East,Coaches,6,1,73,1970,2,2
Larry Bird,SF,220,Boston Celtics,United States,1981,East,Coaches,6,9,81,1978,1,6
Julius Erving,SF,200,Philadelphia Sixers,United States,1981,East,Fans,6,6,78,1972,1,12
Artis Gilmore,C,240,Chicago Bulls,United States,1981,East,Fans,7,2,86,1971,7,15
"Eddie Johnson, Jr.",G,180,Atlanta Hawks,United States,1981,East,Fans,6,2,74,1977,3,5
Marques Johnson,GF,218,Milwaukee Bucks,United States,1981,East,Coaches,6,7,79,1977,1,3
Bobby Jones,SF,210,Philadelphia Sixers,United States,1981,East,Coaches,6,9,81,1974,1,5
Mike Mitchell,F,215,Cleveland Cavaliers,United States,1981,East,Coaches,6,7,79,1978,1,15
Robert Parish,C,230,Boston Celtics,United States,1981,East,Coaches,7,0,84,1976,1,8
Micheal Ray Richardson,PG,189,New York Knicks,United States,1981,East,Coaches,6,5,77,1978,1,4
Dan Roundfield,PF,205,Atlanta Hawks,United States,1981,East,Fans,6,8,80,1975,2,10
Reggie Theus,GF,190,Chicago Bulls,United States,1981,East,Fans,6,7,79,1978,1,9
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1981,West,Fans,7,2,86,1969,1,1
Otis Birdsong,GF,190,Kansas City Kings,United States,1981,West,Coaches,6,3,75,1977,1,2
Adrian Dantley,SF,208,Utah Jazz,United States,1981,West,Fans,6,5,77,1976,1,6
Walter Davis,GF,193,Phoenix Suns,United States,1981,West,Fans,6,6,78,1977,1,5
George Gervin,GF,180,San Antonio Spurs,United States,1981,West,Fans,6,7,79,1974,3,4
Dennis Johnson,PG,185,Phoenix Suns,United States,1981,West,Coaches,6,4,76,1976,2,12
Moses Malone,C,215,Houston Rockets,United States,1981,West,Coaches,6,10,82,-,-,-
Truck Robinson,F,225,Phoenix Suns,United States,1981,West,Coaches,6,7,79,1974,2,4
Jack Sikma,C,230,Seattle SuperSonics,United States,1981,West,Coaches,6,11,83,1977,1,8
Paul Westphal,G,195,Seattle SuperSonics,United States,1981,West,Fans,6,4,76,1972,1,10
Jamaal Wilkes,GF,190,Los Angeles Lakers,United States,1981,West,Coaches,6,6,78,1974,1,11
Tiny Archibald,PG,150,Boston Celtics,United States,1982,East,Fans,6,1,73,1970,2,2
Larry Bird,SF,220,Boston Celtics,United States,1982,East,Fans,6,9,81,1978,1,6
Julius Erving,SF,200,Philadelphia Sixers,United States,1982,East,Fans,6,6,78,1972,1,12
Artis Gilmore,C,240,Chicago Bulls,United States,1982,East,Fans,7,2,86,1971,7,15
Bobby Jones,SF,210,Philadelphia Sixers,United States,1982,East,Coaches,6,9,81,1974,1,5
Bob Lanier,C,250,Milwaukee Bucks,United States,1982,East,Coaches,6,11,83,1970,1,1
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1982,East,Coaches,6,3,75,1979,1,5
Robert Parish,C,230,Boston Celtics,United States,1982,East,Coaches,7,0,84,1976,1,8
Micheal Ray Richardson,PG,189,New York Knicks,United States,1982,East,Coaches,6,5,77,1978,1,4
Dan Roundfield,PF,205,Atlanta Hawks,United States,1982,East,Coaches,6,8,80,1975,2,10
Isiah Thomas,PG,180,Detroit Pistons,United States,1982,East,Fans,6,1,73,1981,1,2
Kelly Tripucka,SF,220,Detroit Pistons,United States,1982,East,Coaches,6,6,78,1981,1,12
Buck Williams,PF,215,New Jersey Nets,United States,1982,East,Coaches,6,8,80,1981,1,3
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1982,West,Fans,7,2,86,1969,1,1
Adrian Dantley,SF,208,Utah Jazz,United States,1982,West,Fans,6,5,77,1976,1,6
Alex English,SF,190,Denver Nuggets,United States,1982,West,Coaches,6,7,79,1976,2,6
George Gervin,GF,180,San Antonio Spurs,United States,1982,West,Fans,6,7,79,1974,3,4
Dennis Johnson,PG,185,Phoenix Suns,United States,1982,West,Coaches,6,4,76,1976,2,12
Magic Johnson,PG,255,Los Angeles Lakers,United States,1982,West,Coaches,6,9,81,1979,1,1
Bernard King,SF,205,Golden State Warriors,United States,1982,West,Coaches,6,7,79,1977,1,7
Moses Malone,C,215,Houston Rockets,United States,1982,West,Coaches,6,10,82,-,-,-
Norm Nixon,G,170,Los Angeles Lakers,United States,1982,West,Coaches,6,2,74,1977,1,22
Lonnie Shelton,FC,240,Seattle SuperSonics,United States,1982,West,Fans,6,8,80,1976,2,8
Jack Sikma,C,230,Seattle SuperSonics,United States,1982,West,Coaches,6,11,83,1977,1,8
Gus Williams,G,175,Seattle SuperSonics,United States,1982,West,Fans,6,2,74,1975,2,2
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1983,West,Fans,7,2,86,1969,1,1
Alex English,SF,190,Denver Nuggets,United States,1983,West,Fans,6,7,79,1976,2,6
George Gervin,GF,180,San Antonio Spurs,United States,1983,West,Coaches,6,7,79,1974,3,4
Artis Gilmore,C,240,San Antonio Spurs,United States,1983,West,Coaches,7,2,86,1971,7,15
Magic Johnson,PG,255,Los Angeles Lakers,United States,1983,West,Fans,6,9,81,1979,1,1
Maurice Lucas,PF,215,Phoenix Suns,United States,1983,West,Fans,6,9,81,1974,1,14
Jim Paxson,SG,200,Portland Trail Blazers,United States,1983,West,Coaches,6,6,78,1979,1,12
Jack Sikma,C,230,Seattle SuperSonics,United States,1983,West,Coaches,6,11,83,1977,1,8
David Thompson,GF,195,Seattle SuperSonics,United States,1983,West,Fans,6,5,77,1975,1,1
Kiki Vandeweghe,SF,220,Denver Nuggets,United States,1983,West,Coaches,6,8,80,1980,1,11
Jamaal Wilkes,GF,190,Los Angeles Lakers,United States,1983,West,Coaches,6,6,78,1974,1,11
Gus Williams,G,175,Seattle SuperSonics,United States,1983,West,Coaches,6,2,74,1975,2,2
Larry Bird,SF,220,Boston Celtics,United States,1983,East,Fans,6,9,81,1978,1,6
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1983,East,Fans,6,1,73,1978,2,14
Julius Erving,SF,200,Philadelphia Sixers,United States,1983,East,Fans,6,6,78,1972,1,12
Marques Johnson,GF,218,Milwaukee Bucks,United States,1983,East,Coaches,6,7,79,1977,1,3
Bill Laimbeer,C,245,Detroit Pistons,United States,1983,East,Coaches,6,11,83,1979,3,21
Moses Malone,C,215,Philadelphia Sixers,United States,1983,East,Fans,6,10,82,-,-,-
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1983,East,Coaches,6,3,75,1979,1,5
Robert Parish,C,230,Boston Celtics,United States,1983,East,Coaches,7,0,84,1976,1,8
Reggie Theus,GF,190,Chicago Bulls,United States,1983,East,Coaches,6,7,79,1978,1,9
Isiah Thomas,PG,180,Detroit Pistons,United States,1983,East,Fans,6,1,73,1981,1,2
Andrew Toney,G,178,Philadelphia Sixers,United States,1983,East,Coaches,6,3,75,1980,1,8
Buck Williams,PF,215,New Jersey Nets,United States,1983,East,Coaches,6,8,80,1981,1,3
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1984,West,Fans,7,2,86,1969,1,1
Mark Aguirre,SF,232,Dallas Mavericks,United States,1984,West,Coaches,6,6,78,1981,1,1
Adrian Dantley,SF,208,Utah Jazz,United States,1984,West,Fans,6,5,77,1976,1,6
Walter Davis,GF,193,Phoenix Suns,United States,1984,West,Coaches,6,6,78,1977,1,5
Alex English,SF,190,Denver Nuggets,United States,1984,West,Fans,6,7,79,1976,2,6
George Gervin,GF,180,San Antonio Spurs,United States,1984,West,Fans,6,7,79,1974,3,4
Rickey Green,PG,170,Utah Jazz,United States,1984,West,Coaches,6,0,72,1977,1,16
Magic Johnson,PG,255,Los Angeles Lakers,United States,1984,West,Fans,6,9,81,1979,1,1
Jim Paxson,SG,200,Portland Trail Blazers,United States,1984,West,Coaches,6,6,78,1979,1,12
Ralph Sampson,C,228,Houston Rockets,United States,1984,West,Coaches,7,4,88,1983,1,1
Jack Sikma,C,230,Seattle SuperSonics,United States,1984,West,Coaches,6,11,83,1977,1,8
Kiki Vandeweghe,SF,220,Denver Nuggets,United States,1984,West,Coaches,6,8,80,1980,1,11
Larry Bird,SF,220,Boston Celtics,United States,1984,East,Fans,6,9,81,1978,1,6
Otis Birdsong,GF,190,New Jersey Nets,United States,1984,East,Coaches,6,3,75,1977,1,2
Julius Erving,SF,200,Philadelphia Sixers,United States,1984,East,Fans,6,6,78,1972,1,12
Bernard King,SF,205,New York Knicks,United States,1984,East,Coaches,6,7,79,1977,1,7
Bill Laimbeer,C,245,Detroit Pistons,United States,1984,East,Replacement,6,11,83,1979,3,21
Moses Malone,C,215,Philadelphia Sixers,United States,1984,East,Fans,6,10,82,-,-,-
Kevin McHale,PF,210,Boston Celtics,United States,1984,East,Coaches,6,10,82,1980,1,3
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1984,East,Fans,6,3,75,1979,1,5
Robert Parish,C,230,Boston Celtics,United States,1984,East,Coaches,7,0,84,1976,1,8
Jeff Ruland,C,240,Washington Bullets,United States,1984,East,Coaches,6,10,82,1980,2,2
Isiah Thomas,PG,180,Detroit Pistons,United States,1984,East,Fans,6,1,73,1981,1,2
Andrew Toney,G,178,Philadelphia Sixers,United States,1984,East,Coaches,6,3,75,1980,1,8
Kelly Tripucka,SF,220,Detroit Pistons,United States,1984,East,Coaches,6,6,78,1981,1,12
Larry Bird,SF,220,Boston Celtics,United States,1985,East,Fans,6,9,81,1978,1,6
Terry Cummings,PF,220,Milwaukee Bucks,United States,1985,East,Coaches,6,9,81,1982,1,2
Julius Erving,SF,200,Philadelphia Sixers,United States,1985,East,Fans,6,6,78,1972,1,12
Dennis Johnson,PG,185,Boston Celtics,United States,1985,East,Coaches,6,4,76,1976,2,12
Michael Jordan,SG,215,Chicago Bulls,United States,1985,East,Fans,6,6,78,1984,1,3
Bernard King,SF,205,New York Knicks,United States,1985,East,Coaches,6,7,79,1977,1,7
Bill Laimbeer,C,245,Detroit Pistons,United States,1985,East,Coaches,6,11,83,1979,3,21
Moses Malone,C,215,Philadelphia Sixers,United States,1985,East,Fans,6,10,82,-,-,-
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1985,East,Coaches,6,3,75,1979,1,5
Robert Parish,C,230,Boston Celtics,United States,1985,East,Coaches,7,0,84,1976,1,8
Micheal Ray Richardson,PG,189,New Jersey Nets,United States,1985,East,Coaches,6,5,77,1978,1,4
Isiah Thomas,PG,180,Detroit Pistons,United States,1985,East,Fans,6,1,73,1981,1,2
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1985,West,Fans,7,2,86,1969,1,1
Rolando Blackman,G,190,Dallas Mavericks,Panama United States,1985,West,Coaches,6,6,78,1981,1,9
Adrian Dantley,SF,208,Utah Jazz,United States,1985,West,Fans,6,5,77,1976,1,6
Alex English,SF,190,Denver Nuggets,United States,1985,West,Coaches,6,7,79,1976,2,6
George Gervin,GF,180,San Antonio Spurs,United States,1985,West,Fans,6,7,79,1974,3,4
Magic Johnson,PG,255,Los Angeles Lakers,United States,1985,West,Fans,6,9,81,1979,1,1
Larry Nance,PF,205,Phoenix Suns,United States,1985,West,Coaches,6,10,82,1981,1,20
Calvin Natt,F,220,Denver Nuggets,United States,1985,West,Coaches,6,6,78,1979,1,8
Norm Nixon,G,170,Los Angeles Clippers,United States,1985,West,Coaches,6,2,74,1977,1,22
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1985,West,Coaches,7,0,84,1984,1,1
Ralph Sampson,C,228,Houston Rockets,United States,1985,West,Fans,7,4,88,1983,1,1
Jack Sikma,C,230,Seattle SuperSonics,United States,1985,West,Coaches,6,11,83,1977,1,8
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1986,West,Fans,7,2,86,1969,1,1
Rolando Blackman,G,190,Dallas Mavericks,Panama United States,1986,West,Coaches,6,6,78,1981,1,9
Adrian Dantley,SF,208,Utah Jazz,United States,1986,West,Coaches,6,5,77,1976,1,6
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1986,West,Coaches,6,7,79,1983,1,14
Alex English,SF,190,Denver Nuggets,United States,1986,West,Coaches,6,7,79,1976,2,6
Artis Gilmore,C,240,San Antonio Spurs,United States,1986,West,Coaches,7,2,86,1971,7,15
Magic Johnson,PG,255,Los Angeles Lakers,United States,1986,West,Fans,6,9,81,1979,1,1
Marques Johnson,GF,218,Los Angeles Clippers,United States,1986,West,Coaches,6,7,79,1977,1,3
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1986,West,Coaches,7,0,84,1984,1,1
Alvin Robertson,SG,185,San Antonio Spurs,United States,1986,West,Fans,6,3,75,1984,1,7
Ralph Sampson,C,228,Houston Rockets,United States,1986,West,Fans,7,4,88,1983,1,1
James Worthy,SF,225,Los Angeles Lakers,United States,1986,West,Fans,6,9,81,1982,1,1
Larry Bird,SF,220,Boston Celtics,United States,1986,East,Fans,6,9,81,1978,1,6
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1986,East,Coaches,6,1,73,1978,2,14
Julius Erving,SF,200,Philadelphia Sixers,United States,1986,East,Fans,6,6,78,1972,1,12
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1986,East,Coaches,7,0,84,1985,1,1
Michael Jordan,SG,215,Chicago Bulls,United States,1986,East,Fans,6,6,78,1984,1,3
Jeff Malone,SG,205,Washington Bullets,United States,1986,East,Coaches,6,4,76,1983,1,10
Moses Malone,C,215,Philadelphia Sixers,United States,1986,East,Fans,6,10,82,-,-,-
Kevin McHale,PF,210,Boston Celtics,United States,1986,East,Coaches,6,10,82,1980,1,3
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1986,East,Replacement,6,3,75,1979,1,5
Robert Parish,C,230,Boston Celtics,United States,1986,East,Coaches,7,0,84,1976,1,8
Isiah Thomas,PG,180,Detroit Pistons,United States,1986,East,Fans,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1986,East,Coaches,6,7,79,1982,1,3
Buck Williams,PF,215,New Jersey Nets,United States,1986,East,Coaches,6,8,80,1981,1,3
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1987,West,Coaches,7,2,86,1969,1,1
Mark Aguirre,SF,232,Dallas Mavericks,United States,1987,West,Coaches,6,6,78,1981,1,1
Rolando Blackman,G,190,Dallas Mavericks,Panama United States,1987,West,Coaches,6,6,78,1981,1,9
Joe Barry Carroll,FC,225,Golden State Warriors,United States,1987,West,Coaches,7,0,84,1980,1,1
Tom Chambers,PF,220,Seattle SuperSonics,United States,1987,West,Replacement,6,10,82,1981,1,8
Walter Davis,GF,193,Phoenix Suns,United States,1987,West,Coaches,6,6,78,1977,1,5
Alex English,SF,190,Denver Nuggets,United States,1987,West,Coaches,6,7,79,1976,2,6
Sleepy Floyd,PG,170,Golden State Warriors,United States,1987,West,Coaches,6,3,75,1982,1,13
Magic Johnson,PG,255,Los Angeles Lakers,United States,1987,West,Fans,6,9,81,1979,1,1
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1987,West,Fans,7,0,84,1984,1,1
Alvin Robertson,SG,185,San Antonio Spurs,United States,1987,West,Fans,6,3,75,1984,1,7
Ralph Sampson,C,228,Houston Rockets,United States,1987,West,Fans,7,4,88,1983,1,1
James Worthy,SF,225,Los Angeles Lakers,United States,1987,West,Fans,6,9,81,1982,1,1
Charles Barkley,PF,252,Philadelphia Sixers,United States,1987,East,Coaches,6,6,78,1984,1,5
Larry Bird,SF,220,Boston Celtics,United States,1987,East,Fans,6,9,81,1978,1,6
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1987,East,Coaches,6,1,73,1978,2,14
Julius Erving,SF,200,Philadelphia Sixers,United States,1987,East,Fans,6,6,78,1972,1,12
Michael Jordan,SG,215,Chicago Bulls,United States,1987,East,Fans,6,6,78,1984,1,3
Bill Laimbeer,C,245,Detroit Pistons,United States,1987,East,Coaches,6,11,83,1979,3,21
Jeff Malone,SG,205,Washington Bullets,United States,1987,East,Coaches,6,4,76,1983,1,10
Moses Malone,C,215,Washington Bullets,United States,1987,East,Fans,6,10,82,-,-,-
Kevin McHale,PF,210,Boston Celtics,United States,1987,East,Coaches,6,10,82,1980,1,3
Robert Parish,C,230,Boston Celtics,United States,1987,East,Coaches,7,0,84,1976,1,8
Isiah Thomas,PG,180,Detroit Pistons,United States,1987,East,Coaches,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1987,East,Fans,6,7,79,1982,1,3
Danny Ainge,G,175,Boston Celtics,United States,1988,East,Coaches,6,4,76,1981,2,8
Charles Barkley,PF,252,Philadelphia Sixers,United States,1988,East,Coaches,6,6,78,1984,1,5
Larry Bird,SF,220,Boston Celtics,United States,1988,East,Fans,6,9,81,1978,1,6
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1988,East,Coaches,6,1,73,1978,2,14
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1988,East,Coaches,7,0,84,1986,1,1
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1988,East,Coaches,7,0,84,1985,1,1
Michael Jordan,SG,215,Chicago Bulls,United States,1988,East,Fans,6,6,78,1984,1,3
Moses Malone,C,215,Washington Bullets,United States,1988,East,Fans,6,10,82,-,-,-
Kevin McHale,PF,210,Boston Celtics,United States,1988,East,Coaches,6,10,82,1980,1,3
Doc Rivers,G,185,Atlanta Hawks,United States,1988,East,Coaches,6,4,76,1983,2,7
Isiah Thomas,PG,180,Detroit Pistons,United States,1988,East,Fans,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1988,East,Fans,6,7,79,1982,1,3
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1988,West,Coaches,7,2,86,1969,1,1
Mark Aguirre,SF,232,Dallas Mavericks,United States,1988,West,Coaches,6,6,78,1981,1,1
James Donaldson,C,275,Dallas Mavericks,England,1988,West,Coaches,7,2,86,1979,4,7
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1988,West,Coaches,6,7,79,1983,1,14
Alex English,SF,190,Denver Nuggets,United States,1988,West,Fans,6,7,79,1976,2,6
Magic Johnson,PG,255,Los Angeles Lakers,United States,1988,West,Fans,6,9,81,1979,1,1
Fat Lever,PG,170,Denver Nuggets,United States,1988,West,Fans,6,3,75,1982,1,11
Karl Malone,PF,265,Utah Jazz,United States,1988,West,Fans,6,9,81,1985,1,13
Xavier McDaniel,PF,205,Seattle SuperSonics,United States,1988,West,Coaches,6,7,79,1985,1,4
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1988,West,Fans,7,0,84,1984,1,1
Alvin Robertson,SG,185,San Antonio Spurs,United States,1988,West,Coaches,6,3,75,1984,1,7
James Worthy,SF,225,Los Angeles Lakers,United States,1988,West,Coaches,6,9,81,1982,1,1
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,West,Replacement,7,2,86,1969,1,1
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981,1,8
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983,1,14
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986,2,9
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979,5,19
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983,1,9
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976,2,6
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979,1,1
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985,1,13
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985,1,7
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984,1,1
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984,1,16
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982,1,1
Charles Barkley,PF,252,Philadelphia Sixers,United States,1989,East,Fans,6,6,78,1984,1,5
Terry Cummings,PF,220,Milwaukee Bucks,United States,1989,East,Coaches,6,9,81,1982,1,2
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1989,East,Coaches,7,0,84,1986,1,1
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1989,East,Coaches,7,0,84,1985,1,1
Mark Jackson,PG,180,New York Knicks,United States,1989,East,Coaches,6,1,73,1987,1,18
Michael Jordan,SG,215,Chicago Bulls,United States,1989,East,Fans,6,6,78,1984,1,3
Moses Malone,C,215,Atlanta Hawks,United States,1989,East,Fans,6,10,82,-,-,-
Kevin McHale,PF,210,Boston Celtics,United States,1989,East,Coaches,6,10,82,1980,1,3
Larry Nance,PF,205,Cleveland Cavaliers,United States,1989,East,Coaches,6,10,82,1981,1,20
Mark Price,PG,170,Cleveland Cavaliers,United States,1989,East,Coaches,6,0,72,1986,2,1
Isiah Thomas,PG,180,Detroit Pistons,United States,1989,East,Fans,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1989,East,Fans,6,7,79,1982,1,3
Charles Barkley,PF,252,Philadelphia Sixers,United States,1990,East,Fans,6,6,78,1984,1,5
Larry Bird,SF,220,Boston Celtics,United States,1990,East,Fans,6,9,81,1978,1,6
Joe Dumars,SG,190,Detroit Pistons,United States,1990,East,Coaches,6,3,75,1985,1,18
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1990,East,Fans,7,0,84,1985,1,1
Michael Jordan,SG,215,Chicago Bulls,United States,1990,East,Fans,6,6,78,1984,1,3
Kevin McHale,PF,210,Boston Celtics,United States,1990,East,Coaches,6,10,82,1980,1,3
Reggie Miller,SG,185,Indiana Pacers,United States,1990,East,Coaches,6,7,79,1987,1,11
