"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Latrell Sprewell","GSW","15:00",3,8,0,2,3,7,4,3,7,1,0,0,2,1,9,0.375,0,0.429,"Reserve","West",1994
"Kevin Johnson","PHO","14:00",3,6,0,0,0,1,0,1,1,2,1,0,2,1,6,0.5,NA,0,"Reserve","West",1994
"Anfernee Hardaway","ORL","31:00",4,9,0,2,4,6,4,1,5,11,0,0,3,1,12,0.444,0,0.667,"Starter","East",1995
"Scottie Pippen","CHI","30:00",5,15,2,6,0,0,0,7,7,3,2,1,4,1,12,0.333,0.333,NA,"Starter","East",1995
"Shaquille O'Neal","ORL","26:00",9,16,0,1,4,7,4,3,7,1,3,2,2,2,22,0.563,0,0.571,"Starter","East",1995
"Reggie Miller","IND","23:00",3,9,3,6,0,0,0,0,0,2,1,1,1,0,9,0.333,0.5,NA,"Starter","East",1995
"Grant Hill","DET","20:00",5,8,0,0,0,4,0,0,0,3,2,0,1,2,10,0.625,NA,0,"Starter","East",1995
"Patrick Ewing","NYK","22:00",4,7,0,0,2,2,0,3,3,1,1,0,5,3,10,0.571,NA,1,"Reserve","East",1995
"Joe Dumars","DET","21:00",5,8,1,2,0,0,0,0,0,6,1,0,1,1,11,0.625,0.5,NA,"Reserve","East",1995
"Larry Johnson","CHH","20:00",2,3,1,1,2,2,1,3,4,2,0,0,1,0,7,0.667,1,1,"Reserve","East",1995
"Alonzo Mourning","CHH","19:00",4,9,0,1,2,3,0,8,8,1,0,1,1,5,10,0.444,0,0.667,"Reserve","East",1995
"Dana Barros","PHI","11:00",2,5,1,3,0,0,0,1,1,3,0,0,0,0,5,0.4,0.333,NA,"Reserve","East",1995
"Vin Baker","MIL","11:00",0,2,0,0,2,4,2,0,2,0,0,1,1,1,2,0,NA,0.5,"Reserve","East",1995
"Tyrone Hill","CLE","6:00",1,1,0,0,0,0,2,2,4,0,0,0,0,1,2,1,NA,NA,"Reserve","East",1995
"Hakeem Olajuwon","HOU","25:00",6,13,1,1,0,2,4,7,11,1,2,2,3,2,13,0.462,1,0,"Starter","West",1995
"Charles Barkley","PHO","23:00",7,12,1,4,0,0,5,4,9,2,2,0,2,1,15,0.583,0.25,NA,"Starter","West",1995
"Shawn Kemp","SEA","23:00",4,6,0,0,5,6,0,2,2,2,1,0,4,5,13,0.667,NA,0.833,"Starter","West",1995
"Latrell Sprewell","GSW","22:00",4,9,0,2,1,1,2,2,4,4,3,0,1,0,9,0.444,0,1,"Starter","West",1995
"Dan Majerle","PHO","20:00",4,12,2,7,0,0,1,4,5,3,0,0,0,1,10,0.333,0.286,NA,"Starter","West",1995
"Gary Payton","SEA","23:00",3,10,0,3,0,0,3,2,5,15,3,0,3,1,6,0.3,0,NA,"Reserve","West",1995
"Mitch Richmond","SAC","22:00",10,13,3,3,0,0,3,1,4,2,0,0,0,0,23,0.769,1,NA,"Reserve","West",1995
"Dikembe Mutombo","DEN","20:00",6,8,0,0,0,0,3,5,8,1,0,4,0,3,12,0.75,NA,NA,"Reserve","West",1995
"Detlef Schrempf","SEA","18:00",4,11,1,4,0,0,0,4,4,5,0,0,0,2,9,0.364,0.25,NA,"Reserve","West",1995
"Karl Malone","UTA","16:00",6,6,0,0,3,4,0,3,3,1,0,0,1,0,15,1,NA,0.75,"Reserve","West",1995
"David Robinson","SAS","14:00",3,5,0,0,4,6,0,3,3,2,2,1,1,2,10,0.6,NA,0.667,"Reserve","West",1995
"John Stockton","UTA","14:00",2,6,0,3,0,0,1,0,1,6,2,0,0,0,4,0.333,0,NA,"Reserve","West",1995
"Anfernee Hardaway","ORL","31:00",6,8,2,4,4,4,0,3,3,7,2,0,3,0,18,0.75,0.5,1,"Starter","East",1996
"Shaquille O'Neal","ORL","28:00",10,16,0,0,5,11,3,7,10,1,1,2,1,3,25,0.625,NA,0.455,"Starter","East",1996
"Grant Hill","DET","26:00",6,10,0,0,2,2,1,2,3,2,1,0,2,1,14,0.6,NA,1,"Starter","East",1996
"Scottie Pippen","CHI","25:00",4,7,0,1,0,0,2,6,8,5,3,0,6,0,8,0.571,0,NA,"Starter","East",1996
"Michael Jordan","CHI","22:00",8,11,0,0,4,4,1,3,4,1,1,0,0,1,20,0.727,NA,1,"Starter","East",1996
"Terrell Brandon","CLE","20:00",4,10,1,4,2,2,1,0,1,3,1,1,3,1,11,0.4,0.25,1,"Reserve","East",1996
"Reggie Miller","IND","18:00",4,8,0,4,0,0,0,2,2,2,1,0,1,2,8,0.5,0,NA,"Reserve","East",1996
"Juwan Howard","WSB","16:00",1,5,0,0,0,0,4,2,6,2,1,0,0,3,2,0.2,NA,NA,"Reserve","East",1996
"Glen Rice","CHH","15:00",1,5,1,2,4,4,0,1,1,2,0,0,2,2,7,0.2,0.5,1,"Reserve","East",1996
"Vin Baker","MIL","14:00",2,5,0,0,2,2,1,1,2,2,1,0,0,4,6,0.4,NA,1,"Reserve","East",1996
"Alonzo Mourning","MIA","13:00",1,6,0,0,0,0,0,1,1,0,0,1,2,2,2,0.167,NA,NA,"Reserve","East",1996
"Patrick Ewing","NYK","12:00",3,7,0,0,2,2,1,2,3,1,3,1,0,2,8,0.429,NA,1,"Reserve","East",1996
"Shawn Kemp","SEA","22:00",6,12,0,2,1,2,2,2,4,1,0,1,3,4,13,0.5,0,0.5,"Starter","West",1996
"Jason Kidd","DAL","22:00",3,4,1,2,0,0,2,4,6,10,2,0,2,1,7,0.75,0.5,NA,"Starter","West",1996
"Clyde Drexler","HOU","19:00",5,8,1,4,0,0,0,2,2,3,3,0,3,0,11,0.625,0.25,NA,"Starter","West",1996
"Charles Barkley","PHO","16:00",4,6,0,0,0,0,0,0,0,1,0,0,2,1,8,0.667,NA,NA,"Starter","West",1996
"Hakeem Olajuwon","HOU","14:00",2,8,0,0,0,0,1,2,3,0,0,0,0,2,4,0.25,NA,NA,"Starter","West",1996
"Gary Payton","SEA","28:00",6,10,0,1,6,6,3,2,5,5,5,0,6,1,18,0.6,0,1,"Reserve","West",1996
"Mitch Richmond","SAC","25:00",3,10,0,3,1,2,0,2,2,2,1,0,2,0,7,0.3,0,0.5,"Reserve","West",1996
"David Robinson","SAS","23:00",8,13,0,0,2,2,6,5,11,2,2,2,1,4,18,0.615,NA,1,"Reserve","West",1996
"Sean Elliott","SAS","22:00",5,12,2,6,1,1,2,3,5,2,0,0,2,4,13,0.417,0.333,1,"Reserve","West",1996
"Karl Malone","UTA","20:00",2,6,0,0,7,8,0,9,9,2,1,0,1,1,11,0.333,NA,0.875,"Reserve","West",1996
"John Stockton","UTA","18:00",2,9,0,7,0,0,0,1,1,3,0,0,1,2,4,0.222,0,NA,"Reserve","West",1996
"Dikembe Mutombo","DEN","11:00",2,4,0,0,0,0,6,3,9,0,0,0,3,3,4,0.5,NA,NA,"Reserve","West",1996
"Michael Jordan","CHI","26:00",5,14,0,0,4,7,3,8,11,11,2,0,3,4,14,0.357,NA,0.571,"Starter","East",1997
"Scottie Pippen","CHI","25:00",4,9,0,3,0,0,0,3,3,2,0,0,2,0,8,0.444,0,NA,"Starter","East",1997
"Anfernee Hardaway","ORL","24:00",7,10,3,5,2,2,4,3,7,3,2,0,1,2,19,0.7,0.6,1,"Starter","East",1997
"Grant Hill","DET","22:00",4,7,0,0,3,4,2,1,3,2,1,1,3,2,11,0.571,NA,0.75,"Starter","East",1997
"Dikembe Mutombo","ATL","15:00",1,5,0,0,1,2,2,6,8,0,0,1,1,0,3,0.2,NA,0.5,"Starter","East",1997
"Glen Rice","CHH","25:00",10,24,4,7,2,2,1,0,1,1,2,0,1,2,26,0.417,0.571,1,"Reserve","East",1997
"Vin Baker","MIL","24:00",8,12,0,0,3,4,7,5,12,1,0,0,0,2,19,0.667,NA,0.75,"Reserve","East",1997
"Christian Laettner","ATL","24:00",3,5,0,0,1,1,4,7,11,2,1,1,2,4,7,0.6,NA,1,"Reserve","East",1997
"Terrell Brandon","CLE","17:00",4,11,2,4,0,0,1,2,3,8,2,0,0,2,10,0.364,0.5,NA,"Reserve","East",1997
"Tim Hardaway","MIA","14:00",4,10,2,6,0,0,0,3,3,2,1,0,2,1,10,0.4,0.333,NA,"Reserve","East",1997
"Chris Webber","WSB","14:00",1,4,0,0,0,0,1,3,4,3,1,0,3,3,2,0.25,NA,NA,"Reserve","East",1997
"Joe Dumars","DET","10:00",1,4,1,4,0,0,0,1,1,1,0,0,0,0,3,0.25,0.25,NA,"Reserve","East",1997
"Gary Payton","SEA","28:00",7,15,1,5,2,2,0,1,1,10,2,0,4,2,17,0.467,0.2,1,"Starter","West",1997
"John Stockton","UTA","20:00",5,6,2,2,0,0,0,0,0,5,1,0,1,2,12,0.833,1,NA,"Starter","West",1997
"Hakeem Olajuwon","HOU","20:00",5,8,0,0,1,2,0,3,3,1,0,1,1,1,11,0.625,NA,0.5,"Starter","West",1997
"Karl Malone","UTA","20:00",2,8,0,0,0,0,1,3,4,0,1,1,0,0,4,0.25,NA,NA,"Starter","West",1997
"Shawn Kemp","SEA","19:00",4,7,1,2,1,2,1,3,4,1,1,0,1,1,10,0.571,0.5,0.5,"Starter","West",1997
"Latrell Sprewell","GSW","25:00",7,12,1,3,4,6,1,2,3,1,2,0,1,2,19,0.583,0.333,0.667,"Reserve","West",1997
"Mitch Richmond","SAC","22:00",3,7,3,4,0,0,1,2,3,4,0,0,1,1,9,0.429,0.75,NA,"Reserve","West",1997
"Detlef Schrempf","SEA","20:00",5,8,1,3,0,1,1,3,4,2,0,1,1,3,11,0.625,0.333,0,"Reserve","West",1997
"Tom Gugliotta","MIN","19:00",3,7,0,1,3,4,1,7,8,3,2,0,3,3,9,0.429,0,0.75,"Reserve","West",1997
"Kevin Garnett","MIN","18:00",1,7,0,0,4,4,1,8,9,1,0,1,0,2,6,0.143,NA,1,"Reserve","West",1997
"Eddie Jones","LAL","17:00",3,4,0,1,4,7,1,0,1,1,1,2,3,1,10,0.75,0,0.571,"Reserve","West",1997
"Chris Gatling","DAL","12:00",1,8,0,0,0,0,0,2,2,0,1,0,0,1,2,0.125,NA,NA,"Reserve","West",1997
"Michael Jordan","CHI","32:00",10,18,1,1,2,3,1,5,6,8,3,0,2,0,23,0.556,1,0.667,"Starter","East",1998
"Grant Hill","DET","28:00",7,11,1,1,0,0,0,3,3,5,1,0,0,1,15,0.636,1,NA,"Starter","East",1998
"Shawn Kemp","CLE","25:00",5,10,0,1,2,2,2,9,11,2,4,0,4,2,12,0.5,0,1,"Starter","East",1998
"Dikembe Mutombo","ATL","19:00",4,5,0,0,1,2,1,6,7,0,0,1,0,3,9,0.8,NA,0.5,"Starter","East",1998
"Anfernee Hardaway","ORL","12:00",3,5,0,1,0,0,0,0,0,3,0,0,1,0,6,0.6,0,NA,"Starter","East",1998
"Rik Smits","IND","21:00",3,7,0,0,4,4,2,5,7,4,0,2,0,3,10,0.429,NA,1,"Reserve","East",1998
"Reggie Miller","IND","20:00",6,8,1,2,1,2,0,0,0,0,1,0,0,2,14,0.75,0.5,0.5,"Reserve","East",1998
"Jayson Williams","NJN","19:00",2,3,0,0,0,0,3,7,10,1,0,0,0,2,4,0.667,NA,NA,"Reserve","East",1998
"Tim Hardaway","MIA","17:00",3,8,2,5,0,0,0,1,1,6,0,0,6,0,8,0.375,0.4,NA,"Reserve","East",1998
"Glen Rice","CHH","16:00",6,14,4,6,0,0,1,0,1,0,0,0,1,0,16,0.429,0.667,NA,"Reserve","East",1998
"Steve Smith","ATL","16:00",6,12,2,5,0,0,2,1,3,0,0,0,0,0,14,0.5,0.4,NA,"Reserve","East",1998
"Antoine Walker","BOS","15:00",2,8,0,3,0,0,1,2,3,3,1,0,1,0,4,0.25,0,NA,"Reserve","East",1998
"Gary Payton","SEA","24:00",3,7,1,3,0,0,2,1,3,13,2,0,4,0,7,0.429,0.333,NA,"Starter","West",1998
"Kobe Bryant","LAL","22:00",7,16,2,3,2,2,2,4,6,1,2,0,1,1,18,0.438,0.667,1,"Starter","West",1998
"Kevin Garnett","MIN","21:00",6,11,0,1,0,0,1,3,4,2,2,1,3,0,12,0.545,0,NA,"Starter","West",1998
"Shaquille O'Neal","LAL","18:00",5,10,0,0,2,4,2,2,4,1,0,0,2,2,12,0.5,NA,0.5,"Starter","West",1998
"Karl Malone","UTA","17:00",2,4,0,0,0,0,0,3,3,2,2,0,0,1,4,0.5,NA,NA,"Starter","West",1998
"Eddie Jones","LAL","25:00",7,19,0,7,1,2,7,4,11,1,2,0,0,1,15,0.368,0,0.5,"Reserve","West",1998
"David Robinson","SAS","22:00",3,4,0,0,9,10,2,4,6,0,2,2,2,1,15,0.75,NA,0.9,"Reserve","West",1998
"Vin Baker","SEA","21:00",3,12,0,0,2,2,6,2,8,0,1,0,0,1,8,0.25,NA,1,"Reserve","West",1998
"Nick Van Exel","LAL","20:00",5,14,1,6,2,2,1,2,3,2,0,0,2,0,13,0.357,0.167,1,"Reserve","West",1998
"Jason Kidd","PHO","19:00",0,1,0,0,0,0,0,1,1,9,0,0,2,2,0,0,NA,NA,"Reserve","West",1998
"Mitch Richmond","SAC","17:00",4,11,0,2,0,0,0,1,1,2,0,0,0,0,8,0.364,0,NA,"Reserve","West",1998
"Tim Duncan","SAS","14:00",1,4,0,1,0,0,1,10,11,1,0,0,2,0,2,0.25,0,NA,"Reserve","West",1998
"Allen Iverson","PHI","28:00",10,18,2,2,4,5,2,0,2,9,2,0,5,0,26,0.556,1,0.8,"Starter","East",2000
"Vince Carter","TOR","28:00",6,11,0,2,0,0,2,2,4,2,2,0,2,0,12,0.545,0,NA,"Starter","East",2000
"Alonzo Mourning","MIA","27:00",7,11,0,0,1,2,2,5,7,1,3,4,1,4,15,0.636,NA,0.5,"Starter","East",2000
"Eddie Jones","CHH","21:00",4,7,2,3,0,0,1,3,4,3,1,0,1,1,10,0.571,0.667,NA,"Starter","East",2000
"Grant Hill","DET","19:00",3,7,0,1,1,1,0,3,3,5,1,0,3,0,7,0.429,0,1,"Starter","East",2000
"Reggie Miller","IND","21:00",1,7,1,6,2,2,0,2,2,3,1,0,1,1,5,0.143,0.167,1,"Reserve","East",2000
"Allan Houston","NYK","18:00",3,10,1,3,4,4,0,0,0,2,1,0,1,1,11,0.3,0.333,1,"Reserve","East",2000
"Ray Allen","MIL","17:00",4,13,1,6,5,6,1,0,1,2,3,1,3,2,14,0.308,0.167,0.833,"Reserve","East",2000
"Glenn Robinson","MIL","17:00",5,10,0,0,0,0,2,4,6,0,0,0,0,0,10,0.5,NA,NA,"Reserve","East",2000
"Dikembe Mutombo","ATL","16:00",2,4,0,0,0,0,2,6,8,0,0,0,2,0,4,0.5,NA,NA,"Reserve","East",2000
"Jerry Stackhouse","DET","14:00",4,7,0,0,0,0,0,1,1,2,0,0,1,2,8,0.571,NA,NA,"Reserve","East",2000
"Dale Davis","IND","14:00",2,3,0,0,0,0,3,5,8,1,0,0,0,0,4,0.667,NA,NA,"Reserve","East",2000
"Kevin Garnett","MIN","35:00",10,19,0,1,4,4,3,7,10,5,1,1,0,1,24,0.526,0,1,"Starter","West",2000
"Jason Kidd","PHO","34:00",4,9,3,6,0,0,0,5,5,14,4,0,6,0,11,0.444,0.5,NA,"Starter","West",2000
"Tim Duncan","SAS","33:00",12,14,0,0,0,0,7,7,14,4,1,1,2,3,24,0.857,NA,NA,"Starter","West",2000
"Kobe Bryant","LAL","28:00",7,16,1,4,0,0,1,0,1,3,2,0,1,3,15,0.438,0.25,NA,"Starter","West",2000
"Shaquille O'Neal","LAL","25:00",11,20,0,0,0,2,4,5,9,3,0,3,4,2,22,0.55,NA,0,"Starter","West",2000
"Rasheed Wallace","POR","21:00",3,6,0,0,3,4,2,2,4,0,1,1,0,0,9,0.5,NA,0.75,"Reserve","West",2000
"Gary Payton","SEA","20:00",1,8,0,4,3,3,0,4,4,8,2,0,2,1,5,0.125,0,1,"Reserve","West",2000
"Chris Webber","SAC","13:00",3,10,0,0,0,0,3,5,8,3,1,0,2,2,6,0.3,NA,NA,"Reserve","West",2000
"John Stockton","UTA","11:00",5,5,0,0,0,0,0,0,0,2,1,0,0,2,10,1,NA,NA,"Reserve","West",2000
"Michael Finley","DAL","10:00",5,6,1,2,0,0,0,1,1,0,0,0,1,0,11,0.833,0.5,NA,"Reserve","West",2000
"David Robinson","SAS","7:00",0,1,0,0,0,0,1,1,2,0,0,0,1,1,0,0,NA,NA,"Reserve","West",2000
"Karl Malone","UTA","3:00",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Reserve","West",2000
"Allen Iverson","PHI","27:00",9,21,1,1,6,6,0,2,2,5,4,0,4,0,25,0.429,1,1,"Starter","East",2001
"Vince Carter","TOR","24:00",7,18,1,4,1,1,1,2,3,4,1,1,3,1,16,0.389,0.25,1,"Starter","East",2001
"Tracy McGrady","ORL","21:00",1,4,0,1,0,0,1,0,1,0,2,1,4,0,2,0.25,0,NA,"Starter","East",2001
"Antonio Davis","TOR","20:00",4,11,0,0,0,0,7,2,9,0,1,1,0,0,8,0.364,NA,NA,"Starter","East",2001
"Anthony Mason","MIA","20:00",0,3,0,0,0,0,2,2,4,1,1,0,2,2,0,0,NA,NA,"Starter","East",2001
"Dikembe Mutombo","ATL","28:00",2,2,0,0,2,2,3,19,22,0,2,3,2,5,6,1,NA,1,"Reserve","East",2001
"Ray Allen","MIL","19:00",7,15,1,7,0,0,1,2,3,2,1,1,1,0,15,0.467,0.143,NA,"Reserve","East",2001
"Stephon Marbury","NJN","18:00",5,9,2,3,0,2,0,0,0,4,0,0,3,2,12,0.556,0.667,0,"Reserve","East",2001
"Glenn Robinson","MIL","18:00",4,7,0,0,0,0,1,3,4,1,1,1,0,0,8,0.571,NA,NA,"Reserve","East",2001
"Latrell Sprewell","NYK","15:00",3,6,0,1,1,3,1,0,1,4,0,0,1,1,7,0.5,0,0.333,"Reserve","East",2001
"Jerry Stackhouse","DET","15:00",3,8,1,1,0,2,2,0,2,2,0,0,0,1,7,0.375,1,0,"Reserve","East",2001
"Allan Houston","NYK","15:00",2,5,1,2,0,0,0,3,3,3,0,0,1,0,5,0.4,0.5,NA,"Reserve","East",2001
"Kobe Bryant","LAL","30:00",9,17,1,2,0,0,2,2,4,7,1,0,3,3,19,0.529,0.5,NA,"Starter","West",2001
"Jason Kidd","PHO","30:00",4,6,3,4,0,0,0,4,4,2,5,0,5,3,11,0.667,0.75,NA,"Starter","West",2001
"Chris Webber","SAC","29:00",6,14,0,1,2,4,4,5,9,3,1,0,1,2,14,0.429,0,0.5,"Starter","West",2001
"Tim Duncan","SAS","28:00",5,11,0,0,4,4,4,10,14,1,2,1,2,1,14,0.455,NA,1,"Starter","West",2001
"Kevin Garnett","MIN","27:00",7,12,0,0,0,0,1,3,4,4,1,3,2,0,14,0.583,NA,NA,"Starter","West",2001
"Rasheed Wallace","POR","21:00",1,7,0,1,0,0,1,3,4,2,1,0,2,0,2,0.143,0,NA,"Reserve","West",2001
"Michael Finley","DAL","19:00",5,15,0,2,2,2,2,1,3,5,0,0,1,0,12,0.333,0,1,"Reserve","West",2001
"Gary Payton","SEA","18:00",0,5,0,0,0,0,2,2,4,5,2,0,1,2,0,0,NA,NA,"Reserve","West",2001
"Antonio McDyess","DEN","15:00",4,9,0,0,0,0,3,5,8,2,1,0,0,2,8,0.444,NA,NA,"Reserve","West",2001
"David Robinson","SAS","10:00",3,5,0,0,2,4,2,2,4,0,0,0,1,3,8,0.6,NA,0.5,"Reserve","West",2001
"Vlade Divac","SAC","9:00",4,6,0,1,0,0,1,2,3,1,2,0,1,0,8,0.667,0,NA,"Reserve","West",2001
"Karl Malone","UTA","4:00",0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,"Reserve","West",2001
"Allen Iverson","PHI","25:00",2,9,0,0,1,2,1,3,4,3,0,0,2,0,5,0.222,NA,0.5,"Starter","East",2002
"Michael Jordan","WAS","22:00",4,13,0,0,0,0,0,4,4,3,2,0,1,1,8,0.308,NA,NA,"Starter","East",2002
"Dikembe Mutombo","PHI","21:00",3,5,0,0,2,2,6,4,10,0,0,1,2,0,8,0.6,NA,1,"Starter","East",2002
"Jason Kidd","NJN","18:00",1,2,0,1,0,0,0,1,1,3,1,0,1,0,2,0.5,0,NA,"Starter","East",2002
"Antoine Walker","BOS","16:00",3,8,2,4,0,0,0,2,2,1,1,0,2,1,8,0.375,0.5,NA,"Starter","East",2002
"Ray Allen","MIL","25:00",6,17,3,10,0,0,1,2,3,5,3,0,1,3,15,0.353,0.3,NA,"Reserve","East",2002
"Tracy McGrady","ORL","23:00",9,15,2,4,4,4,2,1,3,4,3,0,1,1,24,0.6,0.5,1,"Reserve","East",2002
"Paul Pierce","BOS","23:00",9,18,1,6,0,0,3,4,7,3,1,0,0,1,19,0.5,0.167,NA,"Reserve","East",2002
"Shareef Abdur-Rahim","ATL","21:00",4,4,1,1,0,0,1,5,6,0,0,0,0,2,9,1,1,NA,"Reserve","East",2002
"Jermaine O'Neal","IND","17:00",2,5,0,0,3,4,0,7,7,0,0,0,1,1,7,0.4,NA,0.75,"Reserve","East",2002
"Alonzo Mourning","MIA","16:00",6,7,0,0,1,1,1,2,3,2,0,2,1,1,13,0.857,NA,1,"Reserve","East",2002
"Baron Davis","CHH","13:00",1,5,0,3,0,0,0,1,1,5,0,0,3,1,2,0.2,0,NA,"Reserve","East",2002
"Kobe Bryant","LAL","30:00",12,25,0,4,7,7,2,3,5,5,1,0,0,2,31,0.48,0,1,"Starter","West",2002
"Tim Duncan","SAS","29:00",7,11,0,0,0,0,3,11,14,2,0,2,3,1,14,0.636,NA,NA,"Starter","West",2002
"Kevin Garnett","MIN","24:00",7,15,0,1,0,0,6,6,12,2,2,0,0,1,14,0.467,0,NA,"Starter","West",2002
"Chris Webber","SAC","20:00",3,7,1,2,1,4,3,0,3,4,1,0,2,2,8,0.429,0.5,0.25,"Starter","West",2002
"Steve Francis","HOU","18:00",1,8,0,1,1,2,1,1,2,3,2,0,2,1,3,0.125,0,0.5,"Starter","West",2002
"Dirk Nowitzki","DAL","24:00",5,11,1,4,1,1,2,6,8,3,0,0,2,1,12,0.455,0.25,1,"Reserve","West",2002
"Steve Nash","DAL","24:00",3,9,2,4,0,0,2,1,3,9,1,0,0,1,8,0.333,0.5,NA,"Reserve","West",2002
"Gary Payton","SEA","22:00",7,13,4,6,0,0,0,1,1,6,3,0,3,1,18,0.538,0.667,NA,"Reserve","West",2002
"Elton Brand","LAC","19:00",3,5,0,0,0,0,5,5,10,1,0,1,2,2,6,0.6,NA,NA,"Reserve","West",2002
"Peja StojakoviÄ‡","SAC","18:00",4,10,3,5,0,0,2,0,2,1,0,0,0,0,11,0.4,0.6,NA,"Reserve","West",2002
"Wally Szczerbiak","MIN","12:00",4,6,2,3,0,0,1,2,3,3,1,0,0,0,10,0.667,0.667,NA,"Reserve","West",2002
"Allen Iverson","PHI","41:00",13,23,1,3,8,9,3,2,5,7,5,0,6,2,35,0.565,0.333,0.889,"Starter","East",2003
"Tracy McGrady","ORL","36:00",10,17,4,7,5,6,1,4,5,2,0,0,1,3,29,0.588,0.571,0.833,"Starter","East",2003
"Michael Jordan","WAS","36:00",9,27,0,2,2,2,2,3,5,2,2,0,2,3,20,0.333,0,1,"Starter","East",2003
"Jermaine O'Neal","IND","33:00",3,10,0,0,4,6,4,6,10,0,2,4,2,2,10,0.3,NA,0.667,"Starter","East",2003
"Ben Wallace","DET","24:00",1,2,0,0,0,2,4,2,6,0,2,2,2,1,2,0.5,NA,0,"Starter","East",2003
"Jason Kidd","NJN","33:00",4,9,1,4,2,2,1,4,5,10,5,0,2,0,11,0.444,0.25,1,"Reserve","East",2003
"Vince Carter","TOR","25:00",4,9,1,1,0,0,1,0,1,2,0,0,1,1,9,0.444,1,NA,"Reserve","East",2003
"Paul Pierce","BOS","18:00",4,11,0,5,0,0,0,2,2,3,4,0,2,1,8,0.364,0,NA,"Reserve","East",2003
"Brad Miller","IND","17:00",2,4,0,0,1,2,3,3,6,3,0,0,2,2,5,0.5,NA,0.5,"Reserve","East",2003
"Jamal Mashburn","NOH","14:00",4,7,2,2,0,0,0,4,4,2,2,0,0,0,10,0.571,1,NA,"Reserve","East",2003
