"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Antoine Walker","BOS","9:00",2,4,1,3,1,2,0,1,1,0,0,0,1,0,6,0.5,0.333,0.5,"Reserve","East",2003
"Zydrunas Ilgauskas","CLE","4:00",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,"Reserve","East",2003
"Kevin Garnett","MIN","41:00",17,24,0,0,3,3,1,8,9,3,5,1,4,3,37,0.708,NA,1,"Starter","West",2003
"Tim Duncan","SAS","40:00",8,18,0,0,3,3,5,10,15,4,1,0,3,2,19,0.444,NA,1,"Starter","West",2003
"Kobe Bryant","LAL","36:00",8,17,3,5,3,6,2,5,7,6,3,2,5,5,22,0.471,0.6,0.5,"Starter","West",2003
"Steve Francis","HOU","32:00",9,12,2,3,0,0,1,1,2,9,0,0,3,1,20,0.75,0.667,NA,"Starter","West",2003
"Yao Ming","HOU","17:00",1,1,0,0,0,0,0,2,2,0,0,0,0,1,2,1,NA,NA,"Starter","West",2003
"Shaquille O'Neal","LAL","26:00",8,14,0,0,3,5,3,10,13,1,2,1,3,3,19,0.571,NA,0.6,"Reserve","West",2003
"Shawn Marion","PHO","23:00",4,9,0,1,0,0,5,2,7,4,3,1,0,1,8,0.444,0,NA,"Reserve","West",2003
"Dirk Nowitzki","DAL","16:00",4,8,1,4,0,0,0,1,1,1,0,0,2,1,9,0.5,0.25,NA,"Reserve","West",2003
"Steve Nash","DAL","16:00",1,3,0,2,0,1,2,3,5,3,1,0,4,1,2,0.333,0,0,"Reserve","West",2003
"Gary Payton","SEA","15:00",4,6,0,1,0,0,1,0,1,2,0,0,3,3,8,0.667,0,NA,"Reserve","West",2003
"Stephon Marbury","PHO","15:00",1,3,0,2,2,2,0,1,1,6,0,0,2,0,4,0.333,0,1,"Reserve","West",2003
"Peja StojakoviÄ‡","SAC","13:00",2,7,1,4,0,0,0,3,3,1,1,0,1,0,5,0.286,0.25,NA,"Reserve","West",2003
"Jermaine O'Neal","IND","27:42",7,13,0,0,2,4,2,7,9,2,1,0,2,0,16,0.538,NA,0.5,"Starter","East",2004
"Allen Iverson","PHI","23:12",1,6,0,0,1,4,0,1,1,11,0,0,4,3,3,0.167,NA,0.25,"Starter","East",2004
"Ben Wallace","DET","22:15",2,5,0,1,0,0,2,5,7,0,3,1,0,0,4,0.4,0,NA,"Starter","East",2004
"Tracy McGrady","ORL","21:54",5,11,1,6,2,4,1,3,4,3,0,0,1,0,13,0.455,0.167,0.5,"Starter","East",2004
"Vince Carter","TOR","15:50",5,7,1,3,0,0,1,1,2,0,2,0,2,1,11,0.714,0.333,NA,"Starter","East",2004
"Kenyon Martin","NJN","24:05",8,10,0,0,1,2,4,3,7,3,0,0,3,1,17,0.8,NA,0.5,"Reserve","East",2004
"Jason Kidd","NJN","21:56",4,6,3,4,3,4,0,3,3,10,2,0,3,1,14,0.667,0.75,0.75,"Reserve","East",2004
"Jamaal Magloire","NOH","21:44",9,16,0,0,1,2,3,5,8,0,1,1,1,2,19,0.563,NA,0.5,"Reserve","East",2004
"Metta World Peace","IND","16:59",3,5,0,1,1,2,1,2,3,3,1,0,1,2,7,0.6,0,0.5,"Reserve","East",2004
"Baron Davis","NOH","15:35",3,9,1,6,0,0,0,0,0,7,1,0,1,0,7,0.333,0.167,NA,"Reserve","East",2004
"Michael Redd","MIL","14:48",5,12,3,6,0,0,2,1,3,2,3,0,1,0,13,0.417,0.5,NA,"Reserve","East",2004
"Paul Pierce","BOS","14:00",4,8,0,1,0,0,0,1,1,2,1,0,1,2,8,0.5,0,NA,"Reserve","East",2004
"Kobe Bryant","LAL","35:21",9,12,2,3,0,1,1,3,4,4,5,1,6,3,20,0.75,0.667,0,"Starter","West",2004
"Kevin Garnett","MIN","28:52",6,14,0,1,0,0,3,4,7,6,2,1,1,0,12,0.429,0,NA,"Starter","West",2004
"Tim Duncan","SAS","26:02",6,11,0,0,2,4,2,11,13,5,1,0,2,2,14,0.545,NA,0.5,"Starter","West",2004
"Steve Francis","HOU","23:06",6,9,1,2,0,0,1,3,4,4,0,0,1,1,13,0.667,0.5,NA,"Starter","West",2004
"Yao Ming","HOU","18:39",8,14,0,2,0,0,2,2,4,1,0,0,0,2,16,0.571,0,NA,"Starter","West",2004
"Ray Allen","SEA","23:44",6,13,1,4,3,4,2,1,3,4,1,0,3,2,16,0.462,0.25,0.75,"Reserve","West",2004
"Shaquille O'Neal","LAL","23:31",12,19,0,0,0,1,5,6,11,1,2,2,4,3,24,0.632,NA,0,"Reserve","West",2004
"Sam Cassell","MIN","13:49",2,3,0,0,0,0,0,1,1,7,1,0,1,0,4,0.667,NA,NA,"Reserve","West",2004
"Peja StojakoviÄ‡","SAC","13:24",2,5,1,4,0,0,0,1,1,1,0,0,2,0,5,0.4,0.25,NA,"Reserve","West",2004
"Dirk Nowitzki","DAL","13:24",1,3,0,1,0,0,0,0,0,1,2,0,2,0,2,0.333,0,NA,"Reserve","West",2004
"Andrei Kirilenko","UTA","10:30",1,3,0,1,0,0,0,1,1,1,0,1,0,0,2,0.333,0,NA,"Reserve","West",2004
"Brad Miller","SAC","9:38",4,5,0,0,0,0,1,1,2,0,0,0,2,0,8,0.8,NA,NA,"Reserve","West",2004
"Allen Iverson","PHI","31:50",4,14,0,0,7,7,0,4,4,10,5,0,7,0,15,0.286,NA,1,"Starter","East",2005
"LeBron James","CLE","31:25",6,13,1,4,0,1,1,7,8,6,2,0,3,0,13,0.462,0.25,0,"Starter","East",2005
"Shaquille O'Neal","MIA","25:58",6,11,0,1,0,3,0,6,6,1,3,3,0,2,12,0.545,0,0,"Starter","East",2005
"Vince Carter","NJN","17:41",4,8,3,5,0,0,0,3,3,1,0,0,2,0,11,0.5,0.6,NA,"Starter","East",2005
"Grant Hill","ORL","17:25",3,6,0,0,0,0,2,2,4,2,1,0,1,1,6,0.5,NA,NA,"Starter","East",2005
"Dwyane Wade","MIA","23:28",6,13,0,1,2,2,2,1,3,1,2,1,1,2,14,0.462,0,1,"Reserve","East",2005
"Jermaine O'Neal","IND","19:30",6,10,0,0,3,4,1,4,5,2,1,1,1,1,15,0.6,NA,0.75,"Reserve","East",2005
"Zydrunas Ilgauskas","CLE","16:38",5,8,0,0,2,2,3,4,7,1,0,2,1,2,12,0.625,NA,1,"Reserve","East",2005
"Paul Pierce","BOS","14:39",4,7,0,2,1,1,0,3,3,3,2,0,0,2,9,0.571,0,1,"Reserve","East",2005
"Gilbert Arenas","WAS","14:20",3,11,1,3,0,0,1,1,2,3,0,0,0,1,7,0.273,0.333,NA,"Reserve","East",2005
"Ben Wallace","DET","14:00",3,7,0,0,0,0,4,3,7,0,0,0,2,2,6,0.429,NA,NA,"Reserve","East",2005
"Antawn Jamison","WAS","12:56",2,5,1,1,0,0,1,3,4,1,0,0,0,0,5,0.4,1,NA,"Reserve","East",2005
"Kobe Bryant","LAL","29:21",7,14,2,5,0,0,3,3,6,7,3,1,4,5,16,0.5,0.4,NA,"Starter","West",2005
"Tracy McGrady","HOU","23:53",4,13,0,4,0,0,1,4,5,5,3,2,3,1,8,0.308,0,NA,"Starter","West",2005
"Yao Ming","HOU","21:17",5,9,0,0,1,2,3,5,8,5,0,1,1,1,11,0.556,NA,0.5,"Starter","West",2005
"Tim Duncan","SAS","16:28",7,10,1,1,0,1,2,7,9,2,0,0,2,0,15,0.7,1,0,"Starter","West",2005
"Kevin Garnett","MIN","16:21",5,8,0,0,0,1,0,3,3,2,0,0,2,2,10,0.625,NA,0,"Starter","West",2005
"Ray Allen","SEA","22:22",6,16,5,11,0,0,0,4,4,1,0,0,1,2,17,0.375,0.455,NA,"Reserve","West",2005
"Manu GinÃ³bili","SAS","21:33",3,6,0,2,2,2,2,1,3,1,1,1,3,3,8,0.5,0,1,"Reserve","West",2005
"Dirk Nowitzki","DAL","21:03",4,10,1,3,1,2,3,5,8,2,4,4,3,1,10,0.4,0.333,0.5,"Reserve","West",2005
"Amar'e Stoudemire","PHO","19:52",3,11,0,0,0,2,4,5,9,2,1,0,1,2,6,0.273,NA,0,"Reserve","West",2005
"Steve Nash","PHO","17:48",1,2,0,1,0,0,0,0,0,6,0,0,3,0,2,0.5,0,NA,"Reserve","West",2005
"Shawn Marion","PHO","15:54",5,7,0,0,0,1,3,0,3,4,0,0,1,0,10,0.714,NA,0,"Reserve","West",2005
"Rashard Lewis","SEA","14:08",1,7,0,2,0,0,1,3,4,1,1,0,1,2,2,0.143,0,NA,"Reserve","West",2005
"Dwyane Wade","MIA","30:39",9,11,0,0,2,2,3,1,4,3,2,1,3,1,20,0.818,NA,1,"Starter","East",2006
"LeBron James","CLE","30:34",12,21,4,10,1,5,2,4,6,2,2,0,1,2,29,0.571,0.4,0.2,"Starter","East",2006
"Allen Iverson","PHI","26:14",5,14,0,0,2,4,0,2,2,2,0,0,3,0,12,0.357,NA,0.5,"Starter","East",2006
"Shaquille O'Neal","MIA","22:34",7,9,0,0,3,5,3,6,9,4,1,0,2,5,17,0.778,NA,0.6,"Starter","East",2006
"Vince Carter","NJN","17:40",2,5,0,0,1,2,1,3,4,2,1,0,2,3,5,0.4,NA,0.5,"Starter","East",2006
"Ben Wallace","DET","24:18",0,1,0,0,0,2,0,8,8,2,3,2,0,3,0,0,NA,0,"Reserve","East",2006
"Rasheed Wallace","DET","17:19",1,6,0,4,0,0,0,2,2,0,1,0,0,1,2,0.167,0,NA,"Reserve","East",2006
"Chris Bosh","TOR","16:35",3,7,0,0,2,3,2,6,8,2,0,0,1,1,8,0.429,NA,0.667,"Reserve","East",2006
"Chauncey Billups","DET","15:48",6,10,2,5,1,1,0,4,4,7,0,0,2,1,15,0.6,0.4,1,"Reserve","East",2006
"Paul Pierce","BOS","15:00",3,6,0,0,1,2,0,2,2,1,1,0,0,0,7,0.5,NA,0.5,"Reserve","East",2006
"Richard Hamilton","DET","13:28",3,7,0,0,0,0,0,0,0,1,0,0,1,1,6,0.429,NA,NA,"Reserve","East",2006
"Gilbert Arenas","WAS","9:51",0,4,0,2,1,2,0,0,0,1,1,0,1,1,1,0,0,0.5,"Reserve","East",2006
"Steve Nash","PHO","27:34",1,2,0,0,0,0,1,4,5,6,1,0,2,2,2,0.5,NA,NA,"Starter","West",2006
"Tracy McGrady","HOU","26:40",15,26,4,10,2,7,0,0,0,2,1,0,1,1,36,0.577,0.4,0.286,"Starter","West",2006
"Kobe Bryant","LAL","26:15",4,11,0,5,0,0,0,7,7,8,3,0,3,5,8,0.364,0,NA,"Starter","West",2006
"Tim Duncan","SAS","20:55",6,7,0,0,3,3,6,4,10,1,1,1,5,2,15,0.857,NA,1,"Starter","West",2006
"Yao Ming","HOU","19:14",2,5,0,0,1,2,0,2,2,1,1,0,0,2,5,0.4,NA,0.5,"Starter","West",2006
"Tony Parker","SAS","20:26",3,8,0,1,2,2,0,0,0,4,0,0,5,1,8,0.375,0,1,"Reserve","West",2006
"Ray Allen","SEA","18:00",4,13,0,7,0,0,0,2,2,1,0,0,1,2,8,0.308,0,NA,"Reserve","West",2006
"Shawn Marion","PHO","17:15",5,9,0,0,4,7,4,4,8,0,1,1,0,1,14,0.556,NA,0.571,"Reserve","West",2006
"Elton Brand","LAC","16:41",6,11,0,0,0,0,3,4,7,0,1,0,3,2,12,0.545,NA,NA,"Reserve","West",2006
"Kevin Garnett","MIN","16:24",1,9,0,0,0,0,2,7,9,4,1,0,2,1,2,0.111,NA,NA,"Reserve","West",2006
"Dirk Nowitzki","DAL","16:23",4,8,0,3,2,3,3,3,6,0,0,0,0,2,10,0.5,0,0.667,"Reserve","West",2006
"Pau Gasol","MEM","14:13",0,3,0,0,0,0,6,6,12,1,0,0,1,1,0,0,NA,NA,"Reserve","West",2006
"LeBron James","CLE","32:16",11,20,4,8,2,2,0,6,6,6,1,0,4,0,28,0.55,0.5,1,"Starter","East",2007
"Dwyane Wade","MIA","24:22",5,12,0,0,0,0,0,0,0,3,6,0,5,2,10,0.417,NA,NA,"Starter","East",2007
"Chris Bosh","TOR","22:29",5,7,0,0,1,2,3,4,7,1,0,0,0,0,11,0.714,NA,0.5,"Starter","East",2007
"Gilbert Arenas","WAS","19:48",3,8,2,7,0,0,0,1,1,4,2,0,1,0,8,0.375,0.286,NA,"Starter","East",2007
"Shaquille O'Neal","MIA","17:15",5,13,0,0,0,0,4,2,6,1,0,1,1,1,10,0.385,NA,NA,"Starter","East",2007
"Jermaine O'Neal","IND","22:36",4,8,0,0,0,0,3,4,7,1,0,2,1,1,8,0.5,NA,NA,"Reserve","East",2007
"Dwight Howard","ORL","20:39",10,14,0,0,0,5,7,5,12,1,0,1,3,0,20,0.714,NA,0,"Reserve","East",2007
"Joe Johnson","ATL","17:33",5,9,2,5,0,0,0,1,1,2,1,0,1,1,12,0.556,0.4,NA,"Reserve","East",2007
"Chauncey Billups","DET","16:12",3,8,0,3,2,2,1,3,4,6,0,0,0,0,8,0.375,0,1,"Reserve","East",2007
"Vince Carter","NJN","16:12",3,7,0,1,1,2,0,1,1,2,0,0,1,1,7,0.429,0,0.5,"Reserve","East",2007
"Caron Butler","WAS","15:38",1,7,0,0,0,0,3,1,4,1,0,0,1,0,2,0.143,NA,NA,"Reserve","East",2007
"Richard Hamilton","DET","15:00",4,8,0,1,0,0,2,4,6,1,0,0,2,1,8,0.5,0,NA,"Reserve","East",2007
"Kobe Bryant","LAL","28:09",13,24,3,9,2,2,1,4,5,6,6,0,4,1,31,0.542,0.333,1,"Starter","West",2007
"Tracy McGrady","HOU","18:26",3,8,2,5,0,0,1,2,3,11,2,0,3,0,8,0.375,0.4,NA,"Starter","West",2007
"Dirk Nowitzki","DAL","16:05",4,9,1,2,0,0,2,3,5,2,0,0,0,0,9,0.444,0.5,NA,"Starter","West",2007
"Tim Duncan","SAS","14:38",2,3,0,0,0,0,0,5,5,4,1,1,0,1,4,0.667,NA,NA,"Starter","West",2007
"Kevin Garnett","MIN","14:11",3,8,0,0,1,2,4,2,6,4,2,1,1,0,7,0.375,NA,0.5,"Starter","West",2007
"Carmelo Anthony","DEN","25:10",10,15,0,0,0,0,3,6,9,1,1,0,0,2,20,0.667,NA,NA,"Reserve","West",2007
"Tony Parker","SAS","23:44",4,7,0,0,0,0,0,2,2,10,1,0,4,0,8,0.571,NA,NA,"Reserve","West",2007
"Shawn Marion","PHO","21:54",9,15,0,1,0,0,5,3,8,4,2,0,2,0,18,0.6,0,NA,"Reserve","West",2007
"Ray Allen","SEA","21:22",4,10,4,7,0,0,0,1,1,3,1,0,1,0,12,0.4,0.571,NA,"Reserve","West",2007
"Amar'e Stoudemire","PHO","21:21",14,22,0,1,1,1,6,3,9,3,1,2,1,5,29,0.636,0,1,"Reserve","West",2007
"Josh Howard","DAL","20:17",1,3,0,1,1,2,1,3,4,3,0,0,1,1,3,0.333,0,0.5,"Reserve","West",2007
"Mehmet Okur","UTA","14:43",2,2,0,0,0,2,0,2,2,1,0,0,0,0,4,1,NA,0,"Reserve","West",2007
"Dwight Howard","ORL","30:33",7,7,0,0,2,3,5,4,9,3,3,1,1,4,16,1,NA,0.667,"Starter","East",2008
"LeBron James","CLE","30:15",12,22,2,7,1,1,1,7,8,9,2,2,4,3,27,0.545,0.286,1,"Starter","East",2008
"Jason Kidd","NJN","25:05",1,2,0,1,0,0,0,4,4,10,4,0,1,0,2,0.5,0,NA,"Starter","East",2008
"Dwyane Wade","MIA","21:48",7,12,0,1,0,2,1,3,4,3,0,1,2,1,14,0.583,0,0,"Starter","East",2008
"Chris Bosh","TOR","21:32",7,15,0,0,0,2,2,5,7,1,0,0,1,1,14,0.467,NA,0,"Starter","East",2008
"Ray Allen","BOS","18:54",10,14,5,9,3,5,0,2,2,1,2,0,0,0,28,0.714,0.556,0.6,"Reserve","East",2008
"Chauncey Billups","DET","18:07",3,10,0,6,0,1,1,0,1,4,0,0,1,1,6,0.3,0,0,"Reserve","East",2008
"Richard Hamilton","DET","18:00",4,9,1,1,0,0,0,0,0,2,0,0,0,0,9,0.444,1,NA,"Reserve","East",2008
"Rasheed Wallace","DET","17:37",1,5,1,5,0,0,2,3,5,0,1,2,1,2,3,0.2,0.2,NA,"Reserve","East",2008
"Joe Johnson","ATL","13:20",1,2,1,1,0,0,0,0,0,2,1,0,1,1,3,0.5,1,NA,"Reserve","East",2008
"Paul Pierce","BOS","12:37",5,9,0,3,0,0,0,4,4,2,0,0,2,0,10,0.556,0,NA,"Reserve","East",2008
"Antawn Jamison","WAS","12:12",1,3,0,2,0,0,0,1,1,0,0,1,2,0,2,0.333,0,NA,"Reserve","East",2008
"Tim Duncan","SAS","22:23",2,7,0,1,0,0,4,5,9,1,1,1,4,1,4,0.286,0,NA,"Starter","West",2008
"Carmelo Anthony","DEN","21:38",8,17,0,0,2,3,5,2,7,1,0,0,2,0,18,0.471,NA,0.667,"Starter","West",2008
"Allen Iverson","DEN","20:44",3,7,0,0,1,2,1,1,2,6,4,1,6,0,7,0.429,NA,0.5,"Starter","West",2008
"Yao Ming","HOU","13:17",2,5,0,2,2,2,1,4,5,1,0,0,1,0,6,0.4,0,1,"Starter","West",2008
"Kobe Bryant","LAL","2:52",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"Starter","West",2008
"Brandon Roy","POR","28:34",8,10,2,3,0,0,1,8,9,5,1,1,0,2,18,0.8,0.667,NA,"Reserve","West",2008
"Chris Paul","NOH","27:16",7,14,2,6,0,0,2,1,3,14,4,0,2,5,16,0.5,0.333,NA,"Reserve","West",2008
"Dirk Nowitzki","DAL","25:41",5,14,1,4,2,2,1,3,4,2,0,0,2,0,13,0.357,0.25,1,"Reserve","West",2008
"Amar'e Stoudemire","PHO","23:07",8,11,1,2,1,3,0,5,5,0,1,1,1,2,18,0.727,0.5,0.333,"Reserve","West",2008
"Steve Nash","PHO","19:42",4,8,0,1,0,0,0,0,0,6,0,1,1,3,8,0.5,0,NA,"Reserve","West",2008
"Carlos Boozer","UTA","18:30",7,15,0,0,0,2,4,6,10,0,0,0,1,0,14,0.467,NA,0,"Reserve","West",2008
"David West","NOH","16:16",3,6,0,0,0,0,2,2,4,1,0,0,1,1,6,0.5,NA,NA,"Reserve","West",2008
"Dwight Howard","ORL","27:30",5,11,0,2,3,5,3,6,9,0,1,3,1,3,13,0.455,0,0.6,"Starter","East",2009
"LeBron James","CLE","26:50",8,19,2,5,2,2,0,5,5,3,0,0,3,0,20,0.421,0.4,1,"Starter","East",2009
"Dwyane Wade","MIA","26:39",6,13,2,6,4,7,2,0,2,5,3,0,0,2,18,0.462,0.333,0.571,"Starter","East",2009
"Kevin Garnett","BOS","18:52",5,5,0,0,2,2,2,2,4,2,0,0,2,0,12,1,NA,1,"Starter","East",2009
"Allen Iverson","DET","15:39",1,4,0,0,0,0,0,1,1,3,1,0,1,1,2,0.25,NA,NA,"Starter","East",2009
"Joe Johnson","ATL","21:38",0,4,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,"Reserve","East",2009
"Rashard Lewis","ORL","20:30",3,6,1,4,1,2,1,5,6,0,0,0,1,3,8,0.5,0.25,0.5,"Reserve","East",2009
"Paul Pierce","BOS","19:39",6,11,1,5,5,6,1,3,4,2,2,0,1,3,18,0.545,0.2,0.833,"Reserve","East",2009
"Ray Allen","BOS","18:12",4,10,0,3,0,0,1,2,3,1,0,0,1,0,8,0.4,0,NA,"Reserve","East",2009
"Devin Harris","NJN","17:06",3,6,0,1,0,0,1,0,1,0,0,0,0,0,6,0.5,0,NA,"Reserve","East",2009
"Mo Williams","CLE","16:42",5,10,2,5,0,0,1,1,2,5,0,0,2,0,12,0.5,0.4,NA,"Reserve","East",2009
"Danny Granger","IND","10:43",1,1,0,0,0,0,1,0,1,0,2,0,1,0,2,1,NA,NA,"Reserve","East",2009
"Kobe Bryant","LAL","29:14",12,23,3,8,0,0,1,3,4,4,4,0,1,0,27,0.522,0.375,NA,"Starter","West",2009
"Chris Paul","NOH","29:14",7,14,0,1,0,0,1,6,7,14,3,0,1,4,14,0.5,0,NA,"Starter","West",2009
"Amar'e Stoudemire","PHO","24:36",7,10,0,0,5,6,3,3,6,0,0,0,2,1,19,0.7,NA,0.833,"Starter","West",2009
"Tim Duncan","SAS","18:01",3,5,0,0,0,0,0,3,3,2,1,1,2,1,6,0.6,NA,NA,"Starter","West",2009
"Yao Ming","HOU","12:23",1,4,0,0,0,0,0,3,3,0,0,1,1,2,2,0.25,NA,NA,"Starter","West",2009
"Brandon Roy","POR","31:10",7,8,0,0,0,0,0,5,5,5,0,0,0,2,14,0.875,NA,NA,"Reserve","West",2009
"Tony Parker","SAS","20:08",7,11,0,2,0,0,0,4,4,4,2,0,2,0,14,0.636,0,NA,"Reserve","West",2009
"Chauncey Billups","DEN","19:09",2,5,1,3,0,0,0,2,2,3,1,0,3,2,5,0.4,0.333,NA,"Reserve","West",2009
"Pau Gasol","LAL","16:55",5,7,0,0,4,4,2,6,8,1,1,1,0,2,14,0.714,NA,1,"Reserve","West",2009
"David West","NOH","14:09",3,5,0,0,0,0,1,2,3,0,1,0,0,2,6,0.6,NA,NA,"Reserve","West",2009
"Dirk Nowitzki","DAL","14:05",3,5,0,0,2,2,0,1,1,1,0,0,0,0,8,0.6,NA,1,"Reserve","West",2009
"Shaquille O'Neal","PHO","10:56",8,9,0,0,1,4,4,1,5,3,0,1,2,1,17,0.889,NA,0.25,"Reserve","West",2009
"LeBron James","CLE","32:28",10,22,1,6,4,4,1,4,5,6,4,0,2,1,25,0.455,0.167,1,"Starter","East",2010
"Dwyane Wade","MIA","31:20",12,16,0,1,4,6,3,3,6,11,5,0,3,4,28,0.75,0,0.667,"Starter","East",2010
"Dwight Howard","ORL","27:24",7,10,1,2,2,3,0,5,5,1,0,3,1,4,17,0.7,0.5,0.667,"Starter","East",2010
"Joe Johnson","ATL","17:50",4,8,2,5,0,0,0,1,1,1,2,0,0,0,10,0.5,0.4,NA,"Starter","East",2010
"Kevin Garnett","BOS","12:43",2,4,0,0,0,0,0,3,3,2,0,1,2,0,4,0.5,NA,NA,"Starter","East",2010
"Chris Bosh","TOR","29:08",9,16,0,0,5,7,2,8,10,1,2,0,3,0,23,0.563,NA,0.714,"Reserve","East",2010
"Rajon Rondo","BOS","19:49",2,3,0,0,0,0,1,0,1,5,1,0,2,1,4,0.667,NA,NA,"Reserve","East",2010
"Gerald Wallace","CHA","15:32",1,3,0,0,0,0,0,3,3,1,0,0,0,0,2,0.333,NA,NA,"Reserve","East",2010
"Derrick Rose","CHI","15:25",4,8,0,0,0,0,0,0,0,4,3,0,1,0,8,0.5,NA,NA,"Reserve","East",2010
"Al Horford","ATL","14:19",4,5,0,0,0,1,0,4,4,2,1,1,0,1,8,0.8,NA,0,"Reserve","East",2010
"David Lee","NYK","12:26",2,3,0,0,0,0,0,2,2,1,0,0,3,1,4,0.667,NA,NA,"Reserve","East",2010
"Paul Pierce","BOS","11:36",3,6,2,3,0,0,0,0,0,0,1,0,1,0,8,0.5,0.667,NA,"Reserve","East",2010
"Carmelo Anthony","DEN","28:59",13,22,1,4,0,1,4,6,10,2,0,0,2,0,27,0.591,0.25,0,"Starter","West",2010
"Dirk Nowitzki","DAL","27:43",8,15,0,1,6,6,0,4,4,2,1,0,2,2,22,0.533,0,1,"Starter","West",2010
"Steve Nash","PHO","19:59",2,4,0,0,0,0,1,0,1,13,0,0,2,0,4,0.5,NA,NA,"Starter","West",2010
"Amar'e Stoudemire","PHO","19:57",5,10,0,0,2,2,3,7,10,0,1,0,2,0,12,0.5,NA,1,"Starter","West",2010
"Tim Duncan","SAS","13:07",1,4,0,0,1,2,1,3,4,0,2,0,3,1,3,0.25,NA,0.5,"Starter","West",2010
"Deron Williams","UTA","28:01",6,11,2,4,0,0,0,3,3,6,4,1,5,4,14,0.545,0.5,NA,"Reserve","West",2010
"Chauncey Billups","DEN","25:44",6,11,5,8,0,0,0,0,0,5,1,0,2,1,17,0.545,0.625,NA,"Reserve","West",2010
"Pau Gasol","LAL","20:18",5,9,0,0,3,3,2,4,6,0,1,0,0,3,13,0.556,NA,1,"Reserve","West",2010
"Kevin Durant","OKC","20:17",7,14,1,3,0,0,1,4,5,0,0,0,2,0,15,0.5,0.333,NA,"Reserve","West",2010
"Zach Randolph","MEM","19:01",4,10,0,0,0,0,3,3,6,2,2,0,1,2,8,0.4,NA,NA,"Reserve","West",2010
"Chris Kaman","LAC","10:43",2,4,0,0,0,0,2,1,3,1,0,0,1,0,4,0.5,NA,NA,"Reserve","West",2010
"Jason Kidd","DAL","6:11",0,1,0,1,0,0,0,2,2,1,1,0,1,0,0,0,0,NA,"Reserve","West",2010
